1. 2099 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77436077785265 LONG, 42.24296157686674 LAT)
252. 2701 Foothills Boulevard, Klamath County, Oregon 97603 (-121.7551904567783 LONG, 42.226716673962336 LAT)
253. 884 Fulton Street, Klamath County, Oregon 97601 (-121.78754871792502 LONG, 42.23393246195802 LAT)
254. 2083 Applegate Avenue, Klamath County, Oregon 97601 (-121.76552943227576 LONG, 42.220335203998594 LAT)
255. 777 Stanford Street, Klamath County, Oregon 97601 (-121.79427567069017 LONG, 42.22536890447293 LAT)
256. 2521 South 6th Street, Klamath County, Oregon 97603 (-121.75786805414701 LONG, 42.21197664322801 LAT)
257. 2701 Foothills Boulevard, Klamath County, Oregon 97603 (-121.75635903429263 LONG, 42.226287481405095 LAT)
258. 623 Fulton Street, Klamath County, Oregon 97601 (-121.79025390227005 LONG, 42.23390703039648 LAT)
259. 6100 Church Hill Drive, Klamath County, Oregon 97603 (-121.71295661838074 LONG, 42.22228522739519 LAT)
260. 199 South 4th Street, Klamath County, Oregon 97601 (-121.78321332860077 LONG, 42.22297152221288 LAT)
261. 2098 Applegate Avenue, Klamath County, Oregon 97601 (-121.76529421368804 LONG, 42.22025368572278 LAT)
262. 716 Stanford Street, Klamath County, Oregon 97601 (-121.79362939794589 LONG, 42.224598797785625 LAT)
263. 2521 South 6th Street, Klamath County, Oregon 97603 (-121.75844269051613 LONG, 42.21204195667039 LAT)
264. 2225 Washburn Way, Klamath County, Oregon 97603 (-121.75716270762602 LONG, 42.20629559324489 LAT)
265. 437 Fulton Street, Klamath County, Oregon 97601 (-121.79259257332711 LONG, 42.23358279931868 LAT)
266. 518 Harbor View Drive, Klamath County, Oregon 97601 (-121.80654466278206 LONG, 42.26348680992414 LAT)
267. 366 Klamath Avenue, Klamath County, Oregon 97601 (-121.78336330662079 LONG, 42.222526526290835 LAT)
268. 900 Richmond Street, Klamath County, Oregon 97601 (-121.76760148450415 LONG, 42.22180025693204 LAT)
269. 2665 Bly Street, Klamath County, Oregon 97601 (-121.81246749746363 LONG, 42.24483281203398 LAT)
270. 2225 Washburn Way, Klamath County, Oregon 97603 (-121.75716373799187 LONG, 42.20648852712412 LAT)
271. 361 Fulton Street, Klamath County, Oregon 97601 (-121.79369843356139 LONG, 42.233307755679554 LAT)
272. 4746 ESI Way, Klamath County, Oregon 97601 (-121.80279882473157 LONG, 42.26368375345202 LAT)
273. 316 Main Street, Klamath County, Oregon 97601 (-121.78403926049097 LONG, 42.223366328235926 LAT)
274. 2021 Darrow Avenue, Klamath County, Oregon 97601 (-121.76638678334473 LONG, 42.22120507896483 LAT)
275. 480 South 4th Street, Klamath County, Oregon 97601 (-121.78093838986398 LONG, 42.221483284374315 LAT)
276. 2219 Washburn Way, Klamath County, Oregon 97603 (-121.75638363186259 LONG, 42.20736958657487 LAT)
277. 1448 California Avenue, Klamath County, Oregon 97601 (-121.79437121966433 LONG, 42.232631732335854 LAT)
278. 4725 ESI Way, Klamath County, Oregon 97601 (-121.80315943902171 LONG, 42.26514902570737 LAT)
279. 116 North 4th Street, Klamath County, Oregon 97601 (-121.78429490246867 LONG, 42.2235076959313 LAT)
280. 886 East Main Street, Klamath County, Oregon 97601 (-121.76527415331756 LONG, 42.22133560202915 LAT)
281. 599 South 5th Street, Klamath County, Oregon 97601 (-121.77952102516635 LONG, 42.22179065550263 LAT)
282. 1498 Johnson Avenue, Klamath County, Oregon 97601 (-121.7809101316613 LONG, 42.23396909514195 LAT)
283. 3339 Foothills Boulevard, Klamath County, Oregon 97601 (-121.74785632881684 LONG, 42.223858446577516 LAT)
284. 305 Main Street, Klamath County, Oregon 97601 (-121.78555013967781 LONG, 42.22318948290749 LAT)
285. 2037 Darrow Avenue, Klamath County, Oregon 97601 (-121.76616878587426 LONG, 42.22113225261233 LAT)
286. 1757 Main Street, Klamath County, Oregon 97601 (-121.77028664633632 LONG, 42.22836231101799 LAT)
287. 768 Roseway Drive, Klamath County, Oregon 97601 (-121.78888426968416 LONG, 42.2360842120849 LAT)
288. 102 North 3rd Street, Klamath County, Oregon 97601 (-121.78502415926276 LONG, 42.22269524207008 LAT)
289. 2141 Applegate Avenue, Klamath County, Oregon 97601 (-121.76441345470455 LONG, 42.220704635214815 LAT)
290. 4780 ESI Way, Klamath County, Oregon 97601 (-121.800918410735 LONG, 42.26173907623799 LAT)
291. 5585 Glenridge Way, Klamath County, Oregon 97603 (-121.72020454395206 LONG, 42.22161929455154 LAT)
292. 3106 Foothills Boulevard, Klamath County, Oregon 97601 (-121.75064819705192 LONG, 42.22448091797142 LAT)
293. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78204197510651 LONG, 42.2533042968457 LAT)
294. 126 South 3rd Street, Klamath County, Oregon 97601 (-121.78471913109874 LONG, 42.22252574098943 LAT)
295. 2110 Darrow Avenue, Klamath County, Oregon 97601 (-121.76482999799217 LONG, 42.22106316618701 LAT)
296. 200 South Broad Street, Klamath County, Oregon 97601 (-121.77568794982197 LONG, 42.22794186637424 LAT)
297. 1901 Main Street, Klamath County, Oregon 97601 (-121.76938171524775 LONG, 42.228563216398975 LAT)
298. 999 Loma Linda Drive, Klamath County, Oregon 97601 (-121.76702364349457 LONG, 42.234410472290335 LAT)
299. 3223 Foothills Boulevard, Klamath County, Oregon 97601 (-121.7494592191215 LONG, 42.2242132287914 LAT)
300. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78241912992866 LONG, 42.253455204505876 LAT)
301. 399 Klamath Avenue, Klamath County, Oregon 97601 (-121.78326799690609 LONG, 42.22277392324331 LAT)
302. 900 Martin Street, Klamath County, Oregon 97601 (-121.76358002482597 LONG, 42.22102582029095 LAT)
303. 1126 Adams Street, Klamath County, Oregon 97601 (-121.76820014836899 LONG, 42.218209231037584 LAT)
304. 305 Main Street, Klamath County, Oregon 97601 (-121.784364944264 LONG, 42.22324030551779 LAT)
305. 3539 Foothills Boulevard, Klamath County, Oregon 97601 (-121.74519339992796 LONG, 42.22328234493285 LAT)
306. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78529609951906 LONG, 42.25378034359898 LAT)
307. 2143 Darrow Avenue, Klamath County, Oregon 97601 (-121.76439958510069 LONG, 42.221223901348026 LAT)
308. 2401 Wantland Avenue, Klamath County, Oregon 97601 (-121.75997255832004 LONG, 42.21855764796101 LAT)
309. 551 North 3rd Street, Klamath County, Oregon 97601 (-121.78858646276275 LONG, 42.225103527769065 LAT)
310. 2098 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.78382693332634 LONG, 42.247449027991614 LAT)
311. 2328 Siskiyou Street, Klamath County, Oregon 97601 (-121.7935915864882 LONG, 42.2416043117961 LAT)
312. 559 Walnut Avenue, Klamath County, Oregon 97601 (-121.78120029656023 LONG, 42.22339806501174 LAT)
313. 800 Washburn Way, Klamath County, Oregon 97603 (-121.75737404333198 LONG, 42.22153841537576 LAT)
314. 1199 Washburn Way, Klamath County, Oregon 97603 (-121.75721358461865 LONG, 42.21860718164602 LAT)
315. 546 North 6th Street, Klamath County, Oregon 97601 (-121.78648320648325 LONG, 42.22701687829768 LAT)
316. 2400 Harvard Street, Klamath County, Oregon 97601 (-121.8027872727166 LONG, 42.247158274164974 LAT)
317. 3601 Foothills Boulevard, Klamath County, Oregon 97601 (-121.74435319242322 LONG, 42.22314282846838 LAT)
318. 633 Walnut Avenue, Klamath County, Oregon 97601 (-121.78060599157212 LONG, 42.22394705655519 LAT)
319. 800 East Main Street, Klamath County, Oregon 97601 (-121.76518576761083 LONG, 42.22188995056442 LAT)
320. 200 South Williams Avenue, Klamath County, Oregon 97601 (-121.762240915892 LONG, 42.22737516729238 LAT)
321. 1221 South Alameda Avenue, Klamath County, Oregon 97603 (-121.75087572884914 LONG, 42.21857256053874 LAT)
322. 2946 Harvard Street, Klamath County, Oregon 97601 (-121.80278396359508 LONG, 42.247949564091414 LAT)
323. 2022 Vine Avenue, Klamath County, Oregon 97601 (-121.76639102825165 LONG, 42.221566893205 LAT)
324. 699 Washburn Way, Klamath County, Oregon 97603 (-121.75726017845295 LONG, 42.22298383271802 LAT)
325. 396 Haskins Avenue, Klamath County, Oregon 97601 (-121.76911282483118 LONG, 42.231786889288756 LAT)
326. 202 South 4th Street, Klamath County, Oregon 97601 (-121.78304166239073 LONG, 42.22275737527348 LAT)
327. 990 Owens Street, Klamath County, Oregon 97601 (-121.76695754059877 LONG, 42.22039708523837 LAT)
328. 601 Washburn Way, Klamath County, Oregon 97603 (-121.75726819696214 LONG, 42.2237363042946 LAT)
329. 1907 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.78103333516236 LONG, 42.24465961517986 LAT)
330. 301 Klamath Avenue, Klamath County, Oregon 97601 (-121.78409487196835 LONG, 42.22199967046434 LAT)
331. 900 Richmond Street, Klamath County, Oregon 97601 (-121.76758925124598 LONG, 42.220741654879916 LAT)
332. 598 Martin Street, Klamath County, Oregon 97601 (-121.76351005216709 LONG, 42.22380588140835 LAT)
333. 498 South Eldorado Avenue, Klamath County, Oregon 97601 (-121.77026730459136 LONG, 42.224564955829 LAT)
334. 520 East Main Street, Klamath County, Oregon 97601 (-121.76682145152894 LONG, 42.22403705031469 LAT)
335. 301 West Main Street, Klamath County, Oregon 97601 (-121.79219051080239 LONG, 42.21900516971319 LAT)
336. 460 Timbermill Drive, Klamath County, Oregon 97601 (-121.7813513027696 LONG, 42.220437385108916 LAT)
337. 2038 Orchard Avenue, Klamath County, Oregon 97601 (-121.7661655432314 LONG, 42.223754509505945 LAT)
338. 110 South Carroll Street, Klamath County, Oregon 97601 (-121.79213142948277 LONG, 42.2186800274883 LAT)
339. 460 Timbermill Drive, Klamath County, Oregon 97601 (-121.78157731074522 LONG, 42.220106013154144 LAT)
340. 220 North 4th Street, Klamath County, Oregon 97601 (-121.78496157895631 LONG, 42.223976056357074 LAT)
341. 756 Owens Street, Klamath County, Oregon 97601 (-121.7669934121119 LONG, 42.22238660875429 LAT)
342. 440 Adams Street, Klamath County, Oregon 97601 (-121.76830059227436 LONG, 42.22496683523394 LAT)
343. 532 High Street, Klamath County, Oregon 97601 (-121.78469893645685 LONG, 42.22532265216501 LAT)
344. 2083 Garden Avenue, Klamath County, Oregon 97601 (-121.76555286593683 LONG, 42.22296381894385 LAT)
345. 898 Prospect Street, Klamath County, Oregon 97601 (-121.7866044157869 LONG, 42.230422532568724 LAT)
346. 648 Willow Avenue, Klamath County, Oregon 97601 (-121.77792243803621 LONG, 42.22251950855117 LAT)
347. 612 Upham Street, Klamath County, Oregon 97601 (-121.79031253919219 LONG, 42.231939336866866 LAT)
348. 200 North 6th Street, Klamath County, Oregon 97601 (-121.78359075599589 LONG, 42.22533881185606 LAT)
349. 634 East Main Street, Klamath County, Oregon 97601 (-121.76531215327404 LONG, 42.223433086306194 LAT)
350. 1989 Esplanade Avenue, Klamath County, Oregon 97601 (-121.77205877589395 LONG, 42.23495927530072 LAT)
351. 1029 Main Street, Klamath County, Oregon 97601 (-121.77929064045323 LONG, 42.22750134759364 LAT)
352. 444 Donald Street, Klamath County, Oregon 97601 (-121.79223391329054 LONG, 42.232613600418574 LAT)
353. 488 North 9th Street, Klamath County, Oregon 97601 (-121.78367947667786 LONG, 42.228702113951435 LAT)
354. 1029 Main Street, Klamath County, Oregon 97601 (-121.77929112460522 LONG, 42.22750107273964 LAT)
355. 998 Walnut Avenue, Klamath County, Oregon 97601 (-121.77772010185853 LONG, 42.22621907192769 LAT)
356. 300 North Carroll Street, Klamath County, Oregon 97601 (-121.79270929439235 LONG, 42.219612533587785 LAT)
357. 115 North 10th Street, Klamath County, Oregon 97601 (-121.77996083591538 LONG, 42.227120876380965 LAT)
358. 1702 Lakeview Avenue, Klamath County, Oregon 97601 (-121.79066134447665 LONG, 42.23574422768024 LAT)
359. 228 North 8th Street, Klamath County, Oregon 97601 (-121.78231203331629 LONG, 42.22694004666381 LAT)
360. 317 North 9th Street, Klamath County, Oregon 97601 (-121.78225254282904 LONG, 42.22802674789556 LAT)
361. 1675 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77862668029398 LONG, 42.24267993266347 LAT)
362. 518 Saint Francis Street, Klamath County, Oregon 97601 (-121.79139730524888 LONG, 42.23561517311729 LAT)
363. 125 North 9th Street, Klamath County, Oregon 97601 (-121.78134307886128 LONG, 42.22734370743624 LAT)
364. 800 Martin Street, Klamath County, Oregon 97601 (-121.76354938893863 LONG, 42.22195183544975 LAT)
365. 1921 East Lowell Street, Klamath County, Oregon 97601 (-121.77786890476322 LONG, 42.24238489434628 LAT)
366. 601 Addison Street, Klamath County, Oregon 97601 (-121.79046907243323 LONG, 42.236580481407245 LAT)
367. 125 North 9th Street, Klamath County, Oregon 97601 (-121.78077929941992 LONG, 42.22748773280627 LAT)
368. 2256 Vine Avenue, Klamath County, Oregon 97601 (-121.76251167286257 LONG, 42.22196443116732 LAT)
369. 1151 Walnut Avenue, Klamath County, Oregon 97601 (-121.77722696726693 LONG, 42.22649433650275 LAT)
370. 2350 Dahlia Street, Klamath County, Oregon 97601 (-121.78857463086028 LONG, 42.248387092613804 LAT)
371. 1752 Lakeview Avenue, Klamath County, Oregon 97601 (-121.7906530679228 LONG, 42.236285104888466 LAT)
372. 815 High Street, Klamath County, Oregon 97601 (-121.78184817144052 LONG, 42.227892667734785 LAT)
373. 836 Division Street, Klamath County, Oregon 97601 (-121.76179404124935 LONG, 42.22168402372236 LAT)
374. 2636 Clover Street, Klamath County, Oregon 97601 (-121.78984870842919 LONG, 42.25139185509511 LAT)
375. 1826 Lakeview Avenue, Klamath County, Oregon 97601 (-121.79091528424651 LONG, 42.23704638122398 LAT)
376. 1920 Washburn Way, Klamath County, Oregon 97603 (-121.75730026098219 LONG, 42.21057480336491 LAT)
377. 1007 Pine Street, Klamath County, Oregon 97601 (-121.77994398838224 LONG, 42.22797380306787 LAT)
378. 2212 Vine Avenue, Klamath County, Oregon 97601 (-121.76314399063554 LONG, 42.22202635859982 LAT)
379. 111 Acosta Avenue, Klamath County, Oregon 97601 (-121.79615919433263 LONG, 42.25167801804876 LAT)
380. 115 North 10th Street, Klamath County, Oregon 97601 (-121.78012160132488 LONG, 42.2270909154092 LAT)
381. 2300 Vine Avenue, Klamath County, Oregon 97601 (-121.76164812977665 LONG, 42.22198122434353 LAT)
382. 2399 Linda Vista Drive, Klamath County, Oregon 97601 (-121.76640084531564 LONG, 42.23442937023435 LAT)
383. 2481 Campus Drive, Klamath County, Oregon 97601 (-121.78997074296521 LONG, 42.24913510096459 LAT)
384. 239 Acosta Avenue, Klamath County, Oregon 97601 (-121.79766056315437 LONG, 42.2515744029588 LAT)
385. 378 North 10th Street, Klamath County, Oregon 97601 (-121.78249047683995 LONG, 42.2291104616238 LAT)
386. 2333 Darrow Avenue, Klamath County, Oregon 97601 (-121.76115651418472 LONG, 42.221249951236466 LAT)
387. 501 Pelican Street, Klamath County, Oregon 97601 (-121.80443426185684 LONG, 42.24591086364166 LAT)
388. 473 North 9th Street, Klamath County, Oregon 97601 (-121.78343292652737 LONG, 42.22872319389373 LAT)
389. 2695 Darrow Avenue, Klamath County, Oregon 97601 (-121.75806673252869 LONG, 42.22129302068997 LAT)
390. 2087 Melrose Street, Klamath County, Oregon 97601 (-121.77059221185087 LONG, 42.23581334985199 LAT)
391. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78569468780871 LONG, 42.253886131124474 LAT)
392. 3450 Pelican Street, Klamath County, Oregon 97601 (-121.79911525295378 LONG, 42.25205098035805 LAT)
393. 520 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77296055825968 LONG, 42.23230096949219 LAT)
394. 1451 Main Street, Klamath County, Oregon 97601 (-121.77522694168019 LONG, 42.229202381324505 LAT)
395. 2522 Darrow Avenue, Klamath County, Oregon 97601 (-121.75838138498595 LONG, 42.22119458428373 LAT)
396. 1775 Calhoun Street, Klamath County, Oregon 97601 (-121.77569488531944 LONG, 42.24355309200791 LAT)
397. 1647 Portland Street, Klamath County, Oregon 97601 (-121.77894111622035 LONG, 42.23459335009623 LAT)
398. 1320 Main Street, Klamath County, Oregon 97601 (-121.77652757535081 LONG, 42.2282101460582 LAT)
399. 2550 Vine Avenue, Klamath County, Oregon 97601 (-121.75805078997551 LONG, 42.222077063780034 LAT)
400. 1540 Wilford Avenue, Klamath County, Oregon 97601 (-121.78455713821067 LONG, 42.23436849949612 LAT)
401. 1971 Euclid Avenue, Klamath County, Oregon 97601 (-121.77614322187013 LONG, 42.24456562258436 LAT)
402. 1699 Midland Highway, Klamath County, Oregon 97603 (-121.76699086869391 LONG, 42.19279208835074 LAT)
403. 2456 Vine Avenue, Klamath County, Oregon 97601 (-121.75922803700507 LONG, 42.2220653290766 LAT)
404. 337 Grand Avenue, Klamath County, Oregon 97601 (-121.79473534829819 LONG, 42.220062969541246 LAT)
405. 2098 Calhoun Street, Klamath County, Oregon 97601 (-121.77574152431933 LONG, 42.246147822137225 LAT)
406. 2336 Orchard Avenue, Klamath County, Oregon 97601 (-121.7611384168276 LONG, 42.223373512085296 LAT)
407. 623 Front Street, Klamath County, Oregon 97601 (-121.80552704733577 LONG, 42.240366989129114 LAT)
408. 266 Old Fort Road, Klamath County, Oregon 97601 (-121.76465564067807 LONG, 42.23070469434734 LAT)
409. 1425 Oak Avenue, Klamath County, Oregon 97601 (-121.77536283316014 LONG, 42.22542831356675 LAT)
410. 2233 Orchard Avenue, Klamath County, Oregon 97601 (-121.76288864348702 LONG, 42.22387225306843 LAT)
411. 601 Front Street, Klamath County, Oregon 97601 (-121.8049574380869 LONG, 42.24036273495591 LAT)
412. 1699 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77869587782973 LONG, 42.242813965924476 LAT)
413. 540 North Laguna Street, Klamath County, Oregon 97601 (-121.76722599718637 LONG, 42.23378283826157 LAT)
414. 1899 South 6th Street, Klamath County, Oregon 97601 (-121.77037260635343 LONG, 42.21819177973248 LAT)
415. 1526 Oak Avenue, Klamath County, Oregon 97601 (-121.77364890847875 LONG, 42.225438307151286 LAT)
416. 600 Martin Street, Klamath County, Oregon 97601 (-121.76356163079808 LONG, 42.223708675779726 LAT)
417. 3028 Front Street, Klamath County, Oregon 97601 (-121.81366860851634 LONG, 42.250778247871516 LAT)
418. 1800 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.78007382910478 LONG, 42.244024635430556 LAT)
419. 1064 Merryman Drive, Klamath County, Oregon 97603 (-121.75440867295912 LONG, 42.22003549372069 LAT)
420. 498 South Eldorado Avenue, Klamath County, Oregon 97601 (-121.77059135132781 LONG, 42.22453655051733 LAT)
421. 1300 Oak Avenue, Klamath County, Oregon 97601 (-121.77667002086194 LONG, 42.225441255256186 LAT)
422. 649 Martin Street, Klamath County, Oregon 97601 (-121.763329687774 LONG, 42.2233525436618 LAT)
423. 3070 Front Street, Klamath County, Oregon 97601 (-121.8129762825126 LONG, 42.25134296000573 LAT)
424. 2223 Sloan Street, Klamath County, Oregon 97601 (-121.78421175363341 LONG, 42.247254740307135 LAT)
425. 2398 Oregon Avenue, Klamath County, Oregon 97601 (-121.79542101927704 LONG, 42.238945769700464 LAT)
426. 396 South Eldorado Avenue, Klamath County, Oregon 97601 (-121.77061208254672 LONG, 42.22598334044949 LAT)
427. 425 Commercial Street, Klamath County, Oregon 97601 (-121.77666751840006 LONG, 42.22517339464302 LAT)
428. 520 East Main Street, Klamath County, Oregon 97601 (-121.7658339204179 LONG, 42.224766197017516 LAT)
429. 3046 Front Street, Klamath County, Oregon 97601 (-121.81336921739545 LONG, 42.251022453343985 LAT)
430. 1899 Painter Street, Klamath County, Oregon 97601 (-121.77758357282849 LONG, 42.24036168942738 LAT)
431. 1899 Hawthorne Street, Klamath County, Oregon 97601 (-121.78073669513779 LONG, 42.24248862708641 LAT)
432. 1549 Mitchell Street, Klamath County, Oregon 97601 (-121.75965205485079 LONG, 42.215493732412085 LAT)
433. 302 South Broad Street, Klamath County, Oregon 97601 (-121.77567626233086 LONG, 42.22656491663012 LAT)
434. 520 East Main Street, Klamath County, Oregon 97601 (-121.76682339843984 LONG, 42.22418794111552 LAT)
435. 2023 Portland Street, Klamath County, Oregon 97601 (-121.77202369360147 LONG, 42.2366211618803 LAT)
436. 1125 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.7763512524096 LONG, 42.238665292372914 LAT)
437. 1901 Park Avenue, Klamath County, Oregon 97601 (-121.77696058597078 LONG, 42.24537897523546 LAT)
438. 1322 Martin Street, Klamath County, Oregon 97601 (-121.76341828195831 LONG, 42.217381431606285 LAT)
439. 280 South Broad Street, Klamath County, Oregon 97601 (-121.77567694648926 LONG, 42.226780333231744 LAT)
440. 520 East Main Street, Klamath County, Oregon 97601 (-121.76681953980741 LONG, 42.22388888678487 LAT)
441. 2153 Eberlein Avenue, Klamath County, Oregon 97601 (-121.76419695949753 LONG, 42.21763403518388 LAT)
442. 1883 Leroy Street, Klamath County, Oregon 97601 (-121.77682138127196 LONG, 42.238443276816255 LAT)
443. 209 Pine Street, Klamath County, Oregon 97601 (-121.78631307778205 LONG, 42.22263480697465 LAT)
444. 2655 Shasta Way, Klamath County, Oregon 97603 (-121.7564470762574 LONG, 42.21514816020383 LAT)
445. 428 Owens Street, Klamath County, Oregon 97601 (-121.76691820840851 LONG, 42.225086806122036 LAT)
446. 1125 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77664192460196 LONG, 42.238913543191984 LAT)
447. 398 North 2nd Street, Klamath County, Oregon 97601 (-121.78813787723313 LONG, 42.22350246137475 LAT)
448. 1451 Crescent Avenue, Klamath County, Oregon 97601 (-121.7798886 LONG, 42.233848789259824 LAT)
449. 2189 Home Avenue, Klamath County, Oregon 97601 (-121.76380409769415 LONG, 42.224672499304425 LAT)
450. 1259 Pacific Terrace, Klamath County, Oregon 97601 (-121.77421004344919 LONG, 42.23975102967304 LAT)
451. 171 Lincoln Street, Klamath County, Oregon 97601 (-121.79015648469216 LONG, 42.22429024153197 LAT)
452. 2561 Campus Drive, Klamath County, Oregon 97601 (-121.78893579229367 LONG, 42.25016333668128 LAT)
453. 2655 Shasta Way, Klamath County, Oregon 97603 (-121.75561195008453 LONG, 42.214454194212955 LAT)
454. 1643 Portland Street, Klamath County, Oregon 97601 (-121.77900149345793 LONG, 42.23449211851469 LAT)
455. 2198 Home Avenue, Klamath County, Oregon 97601 (-121.76339669415292 LONG, 42.22460079842397 LAT)
456. 2001 Leroy Street, Klamath County, Oregon 97601 (-121.77409925796738 LONG, 42.23925520520451 LAT)
457. 1193 North Alameda Avenue, Klamath County, Oregon 97601 (-121.7786487664386 LONG, 42.231711764088594 LAT)
458. 2481 Campus Drive, Klamath County, Oregon 97601 (-121.7898883073642 LONG, 42.24940487790227 LAT)
459. 1667 Manzanita Street, Klamath County, Oregon 97601 (-121.77908148570572 LONG, 42.235539450599944 LAT)
460. 2311 Orchard Avenue, Klamath County, Oregon 97601 (-121.76153010094343 LONG, 42.22388636558396 LAT)
461. 2833 Washburn Way, Klamath County, Oregon 97603 (-121.75716026809616 LONG, 42.20146996801438 LAT)
462. 1233 Pacific Terrace, Klamath County, Oregon 97601 (-121.77416025135538 LONG, 42.23952998636285 LAT)
463. 968 North Alameda Avenue, Klamath County, Oregon 97601 (-121.77883197199561 LONG, 42.233856039610984 LAT)
464. 2655 Shasta Way, Klamath County, Oregon 97603 (-121.75598825766866 LONG, 42.21482640926033 LAT)
465. 1614 Crescent Avenue, Klamath County, Oregon 97601 (-121.78012370931808 LONG, 42.23533508777855 LAT)
466. 2399 Orchard Avenue, Klamath County, Oregon 97601 (-121.76025098387917 LONG, 42.22389985964126 LAT)
467. 2564 Washburn Way, Klamath County, Oregon 97603 (-121.75715849621746 LONG, 42.2045511969393 LAT)
468. 2035 Leroy Street, Klamath County, Oregon 97601 (-121.77313210629396 LONG, 42.23955048929451 LAT)
469. 1342 Crescent Avenue, Klamath County, Oregon 97601 (-121.77998552588014 LONG, 42.23266194263486 LAT)
470. 2010 White Avenue, Klamath County, Oregon 97601 (-121.76647341341595 LONG, 42.21671394352525 LAT)
471. 1572 Crescent Avenue, Klamath County, Oregon 97601 (-121.78012008782486 LONG, 42.23467689077893 LAT)
472. 2448 Garden Avenue, Klamath County, Oregon 97601 (-121.75921700720045 LONG, 42.22254271992219 LAT)
473. 991 Wild Plum Drive, Klamath County, Oregon 97601 (-121.82053816400207 LONG, 42.23027543304646 LAT)
474. 1125 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77591025103858 LONG, 42.23764856701884 LAT)
475. 1010 Vista Way, Klamath County, Oregon 97601 (-121.82300324282664 LONG, 42.23162381154513 LAT)
476. 2084 California Avenue, Klamath County, Oregon 97601 (-121.80174827017318 LONG, 42.23799263536132 LAT)
477. 2040 White Avenue, Klamath County, Oregon 97601 (-121.76604910199 LONG, 42.21674610416676 LAT)
478. 1508 Crescent Avenue, Klamath County, Oregon 97601 (-121.7801091722257 LONG, 42.23413478891542 LAT)
479. 745 Division Street, Klamath County, Oregon 97601 (-121.76147819260056 LONG, 42.22252012466724 LAT)
480. 1044 Wild Plum Drive, Klamath County, Oregon 97601 (-121.82134429211936 LONG, 42.2304639376774 LAT)
481. 1125 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.7757136893383 LONG, 42.23770459302658 LAT)
482. 1099 Vista Way, Klamath County, Oregon 97601 (-121.82182404600967 LONG, 42.23148840257356 LAT)
483. 2702 Eberlein Avenue, Klamath County, Oregon 97603 (-121.75672209941406 LONG, 42.21753470577548 LAT)
484. 1175 Crescent Avenue, Klamath County, Oregon 97601 (-121.77990305625283 LONG, 42.23113378937183 LAT)
485. 746 Mitchell Street, Klamath County, Oregon 97601 (-121.76045139237776 LONG, 42.22253039540833 LAT)
486. 27 Main Street, Klamath County, Oregon 97601 (-121.7885825357548 LONG, 42.22006154495146 LAT)
487. 1900 Manzanita Street, Klamath County, Oregon 97601 (-121.77518275142683 LONG, 42.2365893268882 LAT)
488. 2655 Shasta Way, Klamath County, Oregon 97603 (-121.7563013647039 LONG, 42.21432270523064 LAT)
489. 798 Klamath Avenue, Klamath County, Oregon 97601 (-121.78024942441137 LONG, 42.22549974589435 LAT)
490. 160 North Spring Street, Klamath County, Oregon 97601 (-121.77455281928711 LONG, 42.22888848121198 LAT)
491. 1059 Pacific Terrace, Klamath County, Oregon 97601 (-121.77325649044987 LONG, 42.23789541030303 LAT)
492. 1668 Sargent Avenue, Klamath County, Oregon 97601 (-121.78627433650676 LONG, 42.235491183349914 LAT)
493. 2655 Shasta Way, Klamath County, Oregon 97603 (-121.75502398620803 LONG, 42.2165285266735 LAT)
494. 333 North 10th Street, Klamath County, Oregon 97601 (-121.78153290851635 LONG, 42.22862943548905 LAT)
495. 475 Commercial Street, Klamath County, Oregon 97601 (-121.77666235222419 LONG, 42.22472589844927 LAT)
496. 1871 Leroy Street, Klamath County, Oregon 97601 (-121.7769747063967 LONG, 42.23831191332349 LAT)
497. 401 Pine Street, Klamath County, Oregon 97601 (-121.78490562029104 LONG, 42.22389970705852 LAT)
498. 776 Hogue Drive, Klamath County, Oregon 97601 (-121.80831923960132 LONG, 42.24134724019669 LAT)
499. 1001 High Street, Klamath County, Oregon 97601 (-121.78124584785739 LONG, 42.228347664350714 LAT)
500. 440 South 6th Street, Klamath County, Oregon 97601 (-121.77976595559193 LONG, 42.222828374001196 LAT)
501. 2599 Radcliffe Avenue, Klamath County, Oregon 97601 (-121.75724045002787 LONG, 42.21594645365022 LAT)
502. 1303 Ridgecrest Drive, Klamath County, Oregon 97601 (-121.78161456270357 LONG, 42.248458340402124 LAT)
503. 443 Lincoln Street, Klamath County, Oregon 97601 (-121.78805154761591 LONG, 42.226237253708604 LAT)
